id,date,etape,id_conversation,id_contact,etape_finale
-1,2022-11-04,1,-1,ACoAAA0sTQIBd8hWUfwkZo9SP-5j32Q5IQMZZU4,0
-1,2022-11-04,1,-1,ACoAAAX_7DYBLY2kvb0Imp-ZMrUvhkM2hGifQ4A,0
-1,2022-11-04,0,-1,ACoAAA6hXSABbDk0dMms8AxxEjg-6Fr1P-MIdhs,0
-1,2022-11-04,1,-1,ACoAADlWqPUBm4qCUFnGXKj8_6_DuBdvM6Hq6s0,0
-1,2022-11-04,1,-1,ACoAACnoODQBLzmNsqa1xfpiImcnqQtRJJXETqU,0
-1,2022-11-04,0,-1,ACoAACQ10UkBamWI5O07lzPhq8fx7886IJ2aQXM,0
-1,2022-11-04,0,-1,ACoAABv1JeIBEWfImQ2AGvtIHMxonssoPHGASBU,0
-1,2022-11-04,0,-1,ACoAABOLoncB174oqULHwG2NDmvMTWhWv-Q8dbs,0
-1,2022-11-04,0,-1,ACoAAAmJX2QBxyC1t7Og8jbh0gktb7fE6pKrPow,0
-1,2022-11-04,1,-1,ACoAACUZMBcBu_sB6Dzf7eqn8rS7LFiQu5fxXQE,0
-1,2022-11-04,1,-1,ACoAACA_wQsB4lRtOrFMV_DT1J7dagymH4Bye8Y,0
-1,2022-11-04,0,-1,ACoAACBy4FkBDf9d_eYA8rAkxgvfn9fKk3eiQiU,0
-1,2022-11-04,1,-1,ACoAACJn7GEBwYeVc0JLhR57G_Zh6O67YI3Fums,0
-1,2022-11-04,0,-1,ACoAAB6gZbQB8YaGjuFzFyPvCiP83OWN7Eyz0-0,0
-1,2022-11-04,0,-1,ACoAACczWZ8BYfRb0r_bzT3Sh0IALB_Byi8YhkQ,0
-1,2022-11-04,1,-1,ACoAAAUBykoBRNErqAnhkD7Os-nAxAqaafRLqRg,0
-1,2022-11-04,1,-1,ACoAACqxZcEBGCJomkupo6tsUOwApOgbcWtQiWw,0
-1,2022-11-04,1,-1,ACoAABfPqTEBtom978JOwsc2AI6HrzZ8ZtKdlQA,0
-1,2022-11-04,0,-1,ACoAAByTLbMBE5R0UNZyBqF1K-uS7kyYvJF_lc4,0
-1,2022-11-04,0,-1,ACoAABRn6O8B4bJOuNhqr97wqYaqUlggFSzSWgQ,0
-1,2022-11-04,0,-1,ACoAACeu1pUBSMtQboePrT5fIZ4ne99wsz0k--k,0
-1,2022-11-04,0,-1,ACoAAB-YbhoBBXaGWnuRLMysBdc4YneTJC9V7PE,0
-1,2022-11-04,0,-1,ACoAAB7uJxYBdJQl6HoWVNFMb23rV6CRBdLOWTM,0
-1,2022-11-04,0,-1,ACoAAAFWDcoBqifbqo8m5PRXXNQjToIVmwsrEDk,0
-1,2022-11-04,0,-1,ACoAACdYYvcBDwKjtk0yVWl1OldUlCh41w7z7Ho,0
-1,2022-11-04,1,-1,ACoAACZUBkAB_8ahWilA4hoTJv7MpKCtUDDLQYs,0
-1,2022-11-04,1,-1,ACoAACTsLM8BP-0HaN7aUfNZoRTz5faDBxptqDM,0
-1,2022-11-04,0,-1,ACoAABpnl9QBM0s96zvO77WGovTTSkM4H-J76gE,0
-1,2022-11-04,0,-1,ACoAAB5jYhsBQ08SJQyWtVGl41rfF8FE-nWabEw,0
-1,2022-11-04,0,-1,ACoAAADKJP0BCt0BPJAOe_QYyo7yqcUEQR1JEKw,0
-1,2022-11-04,0,-1,ACoAAAD4-l0B8btIp_7668axgyYih8G_GAzvBsA,0
-1,2022-11-04,0,-1,ACoAAA_zmA8BdLg5ADQJPua8vTxFN27RNpPkgOs,0
